Store,Address,City,State,Zip,Year,Total_Sales,Dry_Grocery_percent,Dairy_percent,Frozen_Food_percent,Meat_percent,Produce_percent,Floral_percent,Deli_percent,Bakery_percent,General_Merchandise_percent,store_cluster
S0012,1124 W Ocean Ave,Lompoc,CA,93436,2015,49186541.13,46.60,9.73,7.44,11.44,9.43,0.68,4.51,1.86,8.32,3
S0013,3520 Riverside Plaza Dr,Riverside,CA,92506,2015,39169150.41,44.55,9.07,7.54,11.40,9.27,0.79,4.63,3.43,9.32,3
S0014,3901 Portola Pkwy,Irvine,CA,92620,2015,30987962.62,44.44,9.78,7.72,9.87,10.68,1.07,3.49,2.05,10.90,3
S0015,10675 Scripps Poway Pkwy,San Diego,CA,92131,2015,37353757.66,44.80,9.88,7.79,10.00,10.50,0.77,3.50,2.51,10.27,3
S0019,17390 Main St,Hesperia,CA,92345,2015,19682144.37,48.27,9.75,7.79,11.16,9.48,0.58,3.25,1.96,7.77,3
S0024,15740 La Forge St,Whittier,CA,90603,2015,24523501.43,45.51,10.40,8.21,10.48,11.05,0.54,4.11,2.30,7.39,3
S0029,2058 W Avenue J,Lancaster,CA,93534,2015,33606658.38,44.13,9.94,7.30,13.15,9.92,0.62,4.29,1.78,8.87,3
S0031,31564 Grape St,Lake Elsinore,CA,92532,2015,29269437.14,45.59,10.30,7.77,11.29,8.80,0.63,3.87,2.03,9.71,3
S0032,16550 Soledad Canyon Rd,Santa Clarita,CA,91351,2015,24165557.27,44.86,9.42,7.32,11.57,9.65,0.65,4.00,2.35,10.17,3
S0036,33644 Yucaipa Blvd,Yucaipa,CA,92399,2015,17827104.45,49.45,9.47,8.03,10.07,9.81,0.58,3.06,1.59,7.95,3
S0037,4627 Carmel Mountain Rd,San Diego,CA,92130,2015,31286950.57,43.17,9.78,7.70,10.81,11.39,0.82,3.98,2.03,10.31,3
S0040,4550 Atlantic Ave,Long Beach,CA,90807,2015,37025722.69,43.41,9.93,7.53,12.88,12.27,0.81,3.95,1.89,7.32,3
S0045,6351 Haven Ave,Rancho Cucamonga,CA,91737,2015,42304090.96,44.49,10.29,8.38,9.18,10.51,0.93,3.87,2.25,10.09,3
S0047,4200 Chino Hills Pkwy Ste 400,Chino Hills,CA,91709,2015,45096641.3,44.64,9.67,8.08,10.66,10.19,0.84,3.83,2.08,10.01,3
S0048,845 College Blvd,Oceanside,CA,92057,2015,34784203.58,44.13,9.86,8.17,10.24,9.89,0.95,3.85,2.66,10.23,3
S0055,330 W El Norte Pkwy,Escondido,CA,92026,2015,39002676,48.94,9.58,8.14,9.86,11.28,0.58,3.76,1.64,6.22,3
S0059,950 N 2nd St,El Cajon,CA,92021,2015,28986872.68,42.99,9.68,7.25,11.74,12.04,0.74,4.35,2.86,8.34,3
S0062,11800 De Palma Rd,Corona,CA,92883,2015,26064799.99,46.99,9.89,7.98,9.37,11.06,0.58,4.08,2.15,7.91,3
S0066,522 Orange St,Redlands,CA,92374,2015,35306667.57,45.12,9.95,8.30,10.57,8.56,0.86,3.99,2.52,10.12,3
S0070,4550 Atlantic Ave,Long Beach,CA,90807,2015,35369811.65,43.97,9.75,7.69,10.07,11.35,0.78,3.78,2.33,10.28,3
S0071,1270 E Main St,Barstow,CA,92311,2015,30947739.96,44.44,9.82,6.87,13.44,10.13,0.60,4.30,2.15,8.25,3
S0072,729 N H St,Lompoc,CA,93436,2015,38059818.31,43.97,9.28,6.34,12.56,10.90,0.76,4.41,1.82,9.98,3
S0079,3027 Rancho Vista Blvd,Palmdale,CA,93551,2015,23735310.88,46.41,9.60,7.69,12.09,9.90,0.77,4.04,2.27,7.23,3
S0080,29530 Rancho California Rd,Temecula,CA,92591,2015,12618744.15,47.67,10.62,8.22,10.13,8.26,0.77,3.63,2.42,8.27,3
